disorder,metric,u_statistic,p_value,cliffs_delta,tf_mean,gene_mean,tf_median,gene_median,n_tf,n_gene
AD,Strength,19412092.0,0.0,1.0,11520.8698625,246.14139904621305,11384.721608333333,245.46105,644,30143
AD,Clustering_Coefficient,3105873.0,3.1701063416490575e-192,-0.6800063589230877,0.04434709748701054,0.05536518017048444,0.04575124401529715,0.05543689888667683,644,30143
AD,Closeness_Centrality,19412092.0,0.0,1.0,0.3500408309663741,0.0,0.3436191905984013,0.0,644,30143
AD,Eccentricity_Centrality,19412092.0,0.0,1.0,2.015502225672878,0.0,2.0044500000000003,0.0,644,30143
AD,Betweenness,9706046.0,1.0,0.0,0.0,0.0,0.0,0.0,644,30143
ADHD,Strength,18420332.0,0.0,1.0,10933.90611630435,246.17821693179036,10763.186208333333,245.48835,644,28603
ADHD,Clustering_Coefficient,2953059.0,1.1771575201659087e-191,-0.679369622653924,0.04434731630273064,0.05534876237957981,0.0457575463032175,0.05540958315855865,644,28603
ADHD,Closeness_Centrality,18420332.0,0.0,1.0,0.34968636042243323,0.0,0.3430336302628789,0.0,644,28603
ADHD,Eccentricity_Centrality,18420332.0,0.0,1.0,2.0160413561076607,0.0,2.0046,0.0,644,28603
ADHD,Betweenness,9210166.0,1.0,0.0,0.0,0.0,0.0,0.0,644,28603
ASD,Strength,18176900.0,0.0,1.0,10788.9876123706,246.16857475169766,10635.7318,245.51383333333334,644,28225
ASD,Clustering_Coefficient,2907980.0,5.688900959093067e-192,-0.6800356496432285,0.04434357806141305,0.05536896711511264,0.04562864107725702,0.055435720114360605,644,28225
ASD,Closeness_Centrality,18176900.0,0.0,1.0,0.34957293689479885,0.0,0.3436018619540312,0.0,644,28225
ASD,Eccentricity_Centrality,18176900.0,0.0,1.0,2.0159849896480333,0.0,2.0045,0.0,644,28225
ASD,Betweenness,9088450.0,1.0,0.0,0.0,0.0,0.0,0.0,644,28225
BD,Strength,17695188.0,0.0,1.0,10498.51984725673,246.06204395069815,10322.134141666667,245.3383,644,27477
BD,Clustering_Coefficient,2828999.0,5.618039803354174e-192,-0.6802521679905295,0.04432802295276231,0.055344689686355864,0.04572816155545688,0.05542099423056092,644,27477
BD,Closeness_Centrality,17695188.0,0.0,1.0,0.3492177366872731,0.0,0.34065486979842385,0.0,644,27477
BD,Eccentricity_Centrality,17695188.0,0.0,1.0,2.017313612836439,0.0,2.005,0.0,644,27477
BD,Betweenness,8847594.0,1.0,0.0,0.0,0.0,0.0,0.0,644,27477
MDD,Strength,12602436.0,0.0,1.0,7477.503125439957,246.07859434735212,7373.834508333333,245.31445,644,19569
MDD,Clustering_Coefficient,2009765.0,1.1250190165517082e-190,-0.6810513459461329,0.0443147350940199,0.05533373629529914,0.04560548158426144,0.05540585493586443,644,19569
MDD,Closeness_Centrality,12602436.0,0.0,1.0,0.3460037463412235,0.0,0.3397204735741517,0.0,644,19569
MDD,Eccentricity_Centrality,12602436.0,0.0,1.0,2.026751138716356,0.0,2.00685,0.0,644,19569
MDD,Betweenness,6301218.0,1.0,0.0,0.0,0.0,0.0,0.0,644,19569
OCD,Strength,18354000.0,0.0,1.0,10891.947762784679,246.11980207836257,10737.007033333333,245.459125,644,28500
OCD,Clustering_Coefficient,2931741.0,2.7270684605260774e-192,-0.6805338345864662,0.0443338534767784,0.0553629903880625,0.04572214444333693,0.05544172436141806,644,28500
OCD,Closeness_Centrality,18354000.0,0.0,1.0,0.34958344117630197,0.0,0.3420275810997737,0.0,644,28500
OCD,Eccentricity_Centrality,18354000.0,0.0,1.0,2.0160128623188402,0.0,2.0045,0.0,644,28500
OCD,Betweenness,9177000.0,1.0,0.0,0.0,0.0,0.0,0.0,644,28500
SZ,Strength,18446736.0,0.0,1.0,10947.157868271222,246.1237839396267,10812.330641666667,245.37449166666667,644,28644
SZ,Clustering_Coefficient,2954668.0,8.054502602636651e-192,-0.6796541133347385,0.04433962064590434,0.055349251897067936,0.04573173960824039,0.05541663975949704,644,28644
SZ,Closeness_Centrality,18446736.0,0.0,1.0,0.34962691330751305,0.0,0.3417933674937763,0.0,644,28644
SZ,Eccentricity_Centrality,18446736.0,0.0,1.0,2.0162437111801244,0.0,2.00465,0.0,644,28644
SZ,Betweenness,9223368.0,1.0,0.0,0.0,0.0,0.0,0.0,644,28644
